2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '-0.0002,0.0127,9.8132'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '-0.0043,-0.0016,9.8214'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.3491,-0.1659,-0.0462'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '18.4081,-5.0644,38.341'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '-0.0065,-0.0028,9.818'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.849,0.1243,1.2102'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '20.6279,-4.9235,39.6746'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0003,-0.0126,9.809'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.4777,1.4436,0.3824'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '19.0053,-6.0667,40.3887'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0066,0.0052,9.8216'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.1287,-0.1269,-0.8672'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '21.5723,-5.3657,40.4964'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '-0.0002,0.01,9.7952'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.2092,0.5223,-0.6402'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '19.822,-4.2238,40.2471'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0044,0.002,9.8054'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.7194,-0.4412,0.4534'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '19.0799,-5.4269,40.3476'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0038,-0.0012,9.8191'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.5026,0.2863,0.2648'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '19.7331,-4.3486,41.1733'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '-0.0033,0.0062,9.8018'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.0381,-0.6386,-0.2775'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '18.3952,-3.1251,40.8992'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0076,0.0104,9.8213'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-1.0821,0.1097,0.4976'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '21.0087,-4.4173,40.7369'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.007,0.0046,9.806'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.2392,-0.1103,0.3117'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '20.5359,-6.5307,40.4817'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '-0.0014,0.0062,9.8055'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.9695,0.1795,0.5104'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '19.7753,-4.7427,37.4841'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.005,0.01,9.8251'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.7914,-0.3619,0.2923'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '19.9974,-5.5803,38.9035'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '-0.0094,0.0075,9.8028'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.2438,-0.4336,-0.3691'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '20.2059,-5.4314,40.3665'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0092,-0.0024,9.8057'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.8699,-0.3602,0.5507'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '19.3551,-5.3845,38.2468'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0103,-0.0027,9.817'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.0604,-0.1647,0.3193'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '20.9954,-3.1331,38.5276'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0042,0.0031,9.8105'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.0377,0.065,-0.0747'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '17.9367,-5.2287,40.6361'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '-0.0005,0.0072,9.8046'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.3438,-0.2534,-0.1067'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '20.8741,-4.6244,39.7216'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0074,0.0008,9.8116'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.1129,0.1727,0.5226'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '19.2054,-3.9727,40.018'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0067,0.0156,9.8261'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.3055,-0.2411,0.17'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '21.3001,-4.9193,40.2056'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0125,-0.0003,9.7977'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.1245,-0.9782,0.0385'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '20.0158,-4.001,40.0346'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0059,0.0026,9.8058'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.3869,-0.9082,-0.7881'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '18.5368,-5.0935,39.6636'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0032,0.0098,9.8007'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.8919,0.166,0.2576'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '20.1305,-4.5993,40.7011'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0094,-0.0037,9.8145'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.0024,0.3347,-0.5936'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '19.8596,-3.8249,39.3055'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0133,0.0034,9.8099'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.8846,0.0242,0.4672'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '21.1362,-5.932,39.4409'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0068,0.0041,9.8227'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.5927,-0.2404,0.406'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '19.2658,-4.0546,40.3192'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0184,0.0058,9.8121'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.511,0.2462,-0.4022'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '20.5249,-4.376,39.3285'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0115,-0.0004,9.8169'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.1152,0.2596,-1.0063'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '19.0261,-6.8909,39.8177'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0128,0.0063,9.8156'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.4424,-0.2137,-0.1603'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '19.5572,-4.21,39.2302'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0124,0.0056,9.8153'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.416,-0.1397,0.6047'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '18.616,-3.7025,40.3332'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0136,0.0094,9.8147'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.5483,-0.1345,0.2398'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '20.7173,-5.0584,40.5746'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0025,-0.0035,9.8156'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.3044,-0.617,-0.222'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '19.433,-3.9974,40.647'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0077,0.015,9.7957'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.4284,0.4497,0.1426'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '20.6634,-5.0501,40.2903'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.013,0.0042,9.7905'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.2036,0.7413,-0.5584'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '19.354,-5.4434,39.5625'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0006,0.0068,9.8161'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.088,-0.3636,-0.651'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '18.8978,-3.5745,39.3483'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0145,-0.0011,9.8019'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.8798,0.1527,0.1305'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '19.3434,-6.2918,40.4023'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.013,0.0065,9.8113'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.4377,0.4995,0.6583'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '19.8884,-2.9825,39.698'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0104,0.0029,9.8191'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.1601,-0.4892,-0.3112'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '19.6673,-5.5298,39.4008'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0183,0.0117,9.8101'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-1.1905,-0.0172,-0.3495'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '18.6607,-4.1159,39.8304'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0107,0.0146,9.8267'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.0055,0.4943,-0.36'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '21.7099,-3.6182,40.3305'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0042,-0.0057,9.8165'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.1207,0.155,-0.4409'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '20.311,-4.5989,40.487'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0064,0.0062,9.8138'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.0084,0.2434,0.7909'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '18.4443,-7.7219,40.1433'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0137,0.0063,9.8183'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.1263,0.4053,0.727'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '19.326,-5.0073,41.9993'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0073,0.0022,9.8111'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.309,0.6091,-0.1745'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '19.7829,-4.0515,41.66'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0151,0.0073,9.7878'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.8094,-0.5448,0.3109'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '20.5967,-7.5022,40.0743'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0062,0.0068,9.8053'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.2581,0.5477,-0.193'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '19.9542,-4.8699,38.1131'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0183,0.0086,9.7892'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.0511,0.2549,-0.0359'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '21.7087,-3.1318,39.6465'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0187,0.0037,9.8198'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.6256,0.8224,-0.2518'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '20.4991,-3.8074,40.1029'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0167,0.0074,9.8309'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-1.1927,0.0841,-0.8709'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '18.4374,-6.3186,39.098'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0169,0.0074,9.8148'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.5619,-0.2752,-0.0118'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '19.8966,-5.5915,38.2745'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0078,0.0156,9.8165'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.7989,-0.0668,0.0058'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '18.8613,-5.3797,38.2661'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0103,0.0077,9.8169'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.6714,-0.5398,-0.0005'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '19.3839,-4.6949,39.4421'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0252,0.0201,9.7989'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.3387,0.1706,1.0542'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '20.5071,-4.4151,40.7551'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0178,-0.0019,9.8225'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.0603,0.107,-0.2195'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '22.5427,-6.5706,38.201'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0159,0.0065,9.7988'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.2415,0.4964,-0.2959'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '19.9758,-5.5326,40.2368'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0092,0.0046,9.8146'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.2945,-0.2775,0.2451'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '18.6485,-5.8154,41.373'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0118,0.0099,9.8298'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.7672,-0.8867,0.175'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '20.5325,-5.4086,39.9862'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0207,0.0176,9.8295'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.1983,0.5067,0.1507'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '20.5693,-6.0586,39.5467'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0192,0.0037,9.8086'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.861,-0.2727,0.0162'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '18.8464,-5.6856,41.4963'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0126,0.002,9.8028'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.8973,-0.5311,-0.8984'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '20.6245,-6.4495,39.6441'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0179,0.0021,9.8085'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.3643,-0.1626,0.398'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '19.2911,-4.6333,38.7997'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0068,0.0049,9.8118'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.1662,-0.2422,-0.7998'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '19.9425,-4.551,40.4014'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0115,-0.0005,9.8275'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.3267,-0.6747,-0.2293'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '21.5265,-3.6943,38.6317'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0117,0.0148,9.8016'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.4769,-1.0227,-0.0101'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '22.511,-5.4493,41.2271'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0203,0.0074,9.8176'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.429,-0.4238,-0.1805'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '20.0843,-4.0928,40.6054'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0122,0.0049,9.8122'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.3862,-0.0433,0.1731'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '20.3929,-4.8395,40.1122'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0151,0.0168,9.8421'
